symbol,entry_date,exit_date,entry,target,stop,exit,pnl_pct,days,result
NMDC,2024-02-15,2024-02-20,73.78,78.21,71.57,71.57,-3.0,3,STOP
INDHOTEL,2024-02-07,2024-02-21,521.64,552.94,505.99,552.94,6.0,10,TARGET
POWERGRID,2024-02-20,2024-02-21,269.43,285.59,261.34,261.34,-3.0,1,STOP
PNB,2024-02-15,2024-02-26,123.76,131.19,120.05,120.05,-3.0,7,STOP
CUMMINSIND,2024-02-22,2024-02-26,2690.93,2852.38,2610.2,2610.2,-3.0,2,STOP
JSWENERGY,2024-02-26,2024-02-27,519.93,551.12,504.33,504.33,-3.0,1,STOP
POLICYBZR,2024-02-26,2024-02-28,1098.85,1164.78,1065.88,1164.78,6.0,2,TARGET
HDFCAMC,2024-02-27,2024-02-29,1882.56,1995.51,1826.08,1826.08,-3.0,2,STOP
DLF,2024-02-21,2024-03-04,875.41,927.93,849.15,927.93,6.0,8,TARGET
HCLTECH,2024-02-12,2024-03-05,1551.08,1644.15,1504.55,1504.55,-3.0,16,STOP
SUNPHARMA,2024-02-09,2024-03-11,1506.01,1596.37,1460.83,1596.37,6.0,20,TARGET
NTPC,2024-03-04,2024-03-12,337.33,357.57,327.21,327.21,-3.0,5,STOP
TVSMOTOR,2024-03-01,2024-03-13,2216.8,2349.8,2150.29,2150.29,-3.0,7,STOP
JINDALSTEL,2024-03-01,2024-03-13,819.51,868.68,794.92,794.92,-3.0,7,STOP
BOSCHLTD,2024-03-05,2024-03-13,29502.15,31272.28,28617.09,28617.09,-3.0,5,STOP
CIPLA,2024-03-11,2024-03-13,1475.69,1564.23,1431.42,1431.42,-3.0,2,STOP
SOLARINDS,2024-03-15,2024-03-18,8843.65,9374.27,8578.34,8578.34,-3.0,1,STOP
CUMMINSIND,2024-03-20,2024-03-26,2723.04,2886.42,2641.35,2886.42,6.0,3,TARGET
SIEMENS,2024-03-21,2024-03-27,2890.97,3064.43,2804.25,3064.43,6.0,3,TARGET
INDUSTOWER,2024-03-22,2024-03-28,271.3,287.58,263.16,287.58,6.0,3,TARGET
SIEMENS,2024-03-27,2024-04-03,3093.54,3279.15,3000.73,3279.15,6.0,4,TARGET
DMART,2024-03-26,2024-04-10,4486.2,4755.37,4351.61,4755.37,6.0,10,TARGET
